group_id,mae,rmse,n_points,group_label
582,0.014528796346884839,0.020056781234073107,32832,Western and Inland Finland | Etelä-Pohjanmaa | Etelä-Pohjanmaa | Private | Spot Price | Low
694,0.014221311592998536,0.020300168176096783,32832,Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Spot Price | Low
450,0.01362795673858275,0.02051633077924387,32832,Southern Finland | Uusimaa | Uusimaa_Others | Private | Spot Price | Low
691,0.014252303478094442,0.020726765955257697,32832,Western and Inland Finland | Pirkanmaa | Pirkanmaa_Others | Private | Flat/Hybrid | Low
346,0.014218266257593227,0.020789938946793114,32832,Southern Finland | Päijät-Häme | Lahti | Private | Flat/Hybrid | Low
459,0.013034908107568494,0.02080288358413538,32832,Southern Finland | Uusimaa | Vantaa | Private | Fixed Price | Low
401,0.013073354368914866,0.02114096125355274,32832,Southern Finland | Uusimaa | Espoo | Private | Spot Price | Low
304,0.015243932003601019,0.021449353784086828,32832,Southern Finland | Kanta-Häme | Kanta-Häme_Others | Private | Spot Price | Low
468,0.015669719100132342,0.022084053429340767,32832,Southwestern Finland | Satakunta | Pori | Private | Spot Price | Low
541,0.015531332199673092,0.022180177880014224,32832,Southwestern Finland | Varsinais-Suomi | Varsinais-Suomi_Others | Private | Fixed Price | Low
270,0.015215654991832972,0.02228870070448008,32832,Southern Finland | Etelä-Karjala | Lappeenranta | Private | Spot Price | Low
151,0.0164981579574967,0.02271747783283139,32832,Lapland | Lappi | Lappi_Others | Private | Spot Price | Low
29,0.016267307133530234,0.022996747501973766,32832,Eastern Finland | Etelä-Savo | Etelä-Savo | Private | Spot Price | Low
658,0.01674328936321745,0.023274250359417645,32832,Western and Inland Finland | Keski-Suomi | Keski-Suomi_Others | Private | Spot Price | Low
157,0.01744353465988907,0.025010375513668977,32832,Lapland | Lappi | Rovaniemi | Private | Spot Price | Low
234,0.018171300305507683,0.025425599551694614,32832,Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Spot Price | Low
231,0.021479486118631087,0.031626165890473054,32832,Northern Finland | Pohjois-Pohjanmaa | Pohjois-Pohjanmaa_Others | Private | Flat/Hybrid | Low
390,0.028630992949082244,0.0402604441107863,32832,Southern Finland | Uusimaa | Espoo | Enterprise | Spot Price | Low
706,0.03162672074289569,0.04598887913685335,32832,Western and Inland Finland | Pirkanmaa | Tampere | Private | Flat/Hybrid | Medium
399,0.030833869041617373,0.04812834294590411,32832,Southern Finland | Uusimaa | Espoo | Private | Flat/Hybrid | Medium
623,0.03628456208371684,0.05201333688996513,32832,Western and Inland Finland | Keski-Suomi | Jyväskylä | Private | Flat/Hybrid | Medium
197,0.037091725882302175,0.05250102052772996,32832,Northern Finland | Pohjois-Pohjanmaa | Oulu | Private | Flat/Hybrid | Medium
405,0.035099079404875166,0.053565220224167875,32832,Southern Finland | Uusimaa | Espoo | Private | Variable Price | Medium
460,0.03821550638609522,0.05731154649264581,32832,Southern Finland | Uusimaa | Vantaa | Private | Fixed Price | Medium
